Position,Player,Age,Market Value,Club,Gameday,H/A,Status,Match ID
Goalkeeper,Justin Hammel,22,€500k,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089693
Centre-Back,Kristers Tobers,22,€350k,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089693
Centre-Back,Ayumu Seko,23,€3.00m,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089693
Left-Back,Michael Kempter,28,€300k,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089693
Right-Back,Dirk Abels,26,€650k,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089693
Defensive Midfield,Amir Abrashi,33,€200k,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089693
Defensive Midfield,Tsiy Ndenge,26,€800k,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089693
Right Midfield,Theo Corbeanu,21,€1.20m,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089693
Left Midfield,Filipe de Carvalho,19,€500k,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089693
Attacking Midfield,Giotto Morandi,24,€800k,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089693
Centre-Forward,Renat Dadashov,24,€1.60m,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Starting,4089693
Goalkeeper,Manuel Kuttin,29,€200k,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Substitute,4089693
Centre-Back,Elvir Zukaj,21,€10k,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Substitute,4089693
Left-Back,Florian Hoxha,22,€100k,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Substitute,4089693
Defensive Midfield,Tim Meyer,19,€10k,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Substitute,4089693
Attacking Midfield,Dion Kacuri,19,€600k,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Substitute,4089693
Attacking Midfield,Meritan Shabani,24,€400k,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Substitute,4089693
Left Winger,Damian Nigg,18,€150k,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Substitute,4089693
Centre-Forward,Bradley Fink,20,€1.00m,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Substitute,4089693
Centre-Forward,Elmin Rastoder,21,€350k,Grasshopper Club Zurich,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Home,Substitute,4089693
Goalkeeper,Jérémy Frick,30,€500k,Servette FC,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Starting,4089693
